Benz Circle,Vijayawada
Chandranagar,Itanagar
Paltan Bazaar,Guwahati
Kankarbagh,Patna
Amanaka,Raipur
Altinho,Panaji
Navrangpura,Ahmedabad
Sector 17,Chandigarh
Mall Road,Shimla
Kanke,Ranchi
Koramangala,Bangalore
MG Road,Kochi
MP Nagar,Bhopal
Andheri,Mumbai
Thangal Bazar,Imphal
Police Bazar,Shillong
Bara Bazar,Aizawl
Super Market,Kohima
Saheed Nagar,Bhubaneswar
Ranjit Avenue,Amritsar
Malviya Nagar,Jaipur
MG Marg,Gangtok
T. Nagar,Chennai
Banjara Hills,Hyderabad
Battala,Agartala
Hazratganj,Lucknow
Rajpur Road,Dehradun
Salt Lake,Kolkata
